"shorten	guideline",,,,,,t1 14
"t1 dehum filth	filth",,,,,,
"t1 viol spch	violent speech",,,,,,
"t1 dehum insects	insects",,,,,,
"t1 dehum bacteri	bacteria",,,,,,
"t1 disease	disease",,,,,,
"t1 dehum ani	dehumanization animal",,,,,,
"t1 feces	feces",,,,,,
"t1 sex pred	sexual predator",,,,,,
"t1 subhuman	subhumanity",,,,,,
"t1 criminal	criminal",,,,,,
"t1 certain obj	certain objects",,,,,,
"t1 deny exist	deny existence",,,,,,
"t1 harm ster	harmful stereotype",,,,,,
"t1 hatecrm vic	hatecrime victim",,,,,,
"t2 attck hyg	attacking hygiene",,,,,,t2 19
"t2 attck appr	attacking appearance",,,,,,
"t2 attck int cap	attacking intellectual capability",,,,,,
"t2 attck edu	attacking education",,,,,,
"t2 attck mental	attacking mental health",,,,,,
"t2 attck chara	attacking character trait",,,,,,
"t2 attck deroga	attacking derogatory term",,,,,,
"t2 les than	less than adequate",,,,,,
"t2 devia norm	deviating norm",,,,,,
"t2 better wors	better worse than",,,,,,
"t2 cont slf adm	contempt self admission intolerance",,,,,,
"t2 cont shldnt exist	contempt shouldnt exist",,,,,,
"t2 cont desp hate	contempt despise hate",,,,,,
"t2 cont desp dislike	contempt despise dislike",,,,,,
"t2 curs sexual	curse sexual",,,,,,
"t2 disgu vomit	disgust vomit",,,,,,
"t2 disgu repul	disgust repulsion",,,,,,
"t2 curs genit	curse genitalia",,,,,,
"t2 curs profa	curse profane",,,,,,
"t3 segregat	segregation	Segregation",,,,,,t3 5
"t3 explt excl	explicit exclusion",,,,,,
"t3 polit excl	political exclusion",,,,,,
"t3 econ excl	economic exclusion",,,,,,
"t3 socl excl	social exclusion",,,,,,
"t4 chge sexual	change sexual",,,,,,t4 3
"t4 attck concept	attack concept associated protected characteristics",,,,,,
"t4 spread virus	spread virus",,,,,,
